No	업종코드	업종명
457	3249	청소년수련시설(청소년수련관)
458	3250	청소년수련시설(청소년문화의집)
459	3251	청소년수련시설(청소년수련원)
460	3252	청소년수련시설(청소년야영장)
461	3253	청소년수련시설(청소년특화시설)
462	3254	청소년수련시설(유스호스텔)
463	3255	신문사업자(일반일간신문)
464	3256	신문사업자(일반주간신문)
465	3257	신문사업자(특수주간신문)
466	3258	정기간행물사업자(잡지)
467	3259	정기간행물사업자(기타간행물)
468	3260	인터넷신문사업자
469	3276	문화산업전문회사
470	3277	작은도서관
471	3278	장애인도서관
472	3279	병원도서관
473	3280	병영도서관
474	3281	교도소도서관
475	3282	어린이도서관
476	3283	온라인음악서비스제공업
477	3284	일반게임제공업
478	3301	엔지니어링전문인력양성기관
479	3501	기상정보지원기관
480	3502	방사성폐기시설등 건설·운영
481	3503	방사선피폭선량판독업무자
482	3504	핵연료주기사업(핵연료물질정련사업)
483	3505	핵연료주기사업(핵연료물질가공사업)
484	3506	핵연료주기사업(사용후핵연료처리사업)
485	3508	방사선 및 방사성동위원소 주관연구기관 및 정보관리기관
486	3509	방사성동위원소 생산허가자
487	3510	방사성동위원소 사용허가자
488	3512	우주개발전문기관
489	3514	비파괴검사업
490	3515	방사성동위원소 이동사용허가자
491	3516	방사성동위원소 판매허가자
492	3517	방사선발생장치 생산허가자
493	3518	방사선발생장치 사용허가자
494	3519	방사선발생장치 이동사용허가자
495	3520	방사선발생장치 판매허가자
496	3522	기상측기검정대행기관
497	3523	나노기술전문연구소
498	3525	비파괴검사기술연구기관
499	3528	기상업무교육·훈련기관
500	3531	기술사사무소(자원관리)
501	3532	기술사사무소(광해방지)
502	3533	기술사사무소(자연환경관리)
503	3534	기술사사무소(토양환경)
504	3536	기술사사무소(조선)
505	3538	지능형로봇전문연구원
506	3553	기술사교육기관
507	3554	기업부설연구소
508	3555	연구개발전담부서
509	3557	방사선등 주관연구기관
510	3558	방사선등 정보관리기관
511	3559	기상예보업
512	3560	기상감정업
513	3561	기상컨설팅업
514	3562	기상장비업
515	3563	엔지니어링사업(일반산업기계)
516	3564	엔지니어링사업(차량)
517	3565	엔지니어링사업(용접)
518	3566	엔지니어링사업(금형)
519	3567	엔지니어링사업(조선)
520	3568	엔지니어링사업(항공)
521	3569	엔지니어링사업(금속)
522	3570	엔지니어링사업(전기설비)
523	3571	엔지니어링사업(전기전자응용)
524	3572	엔지니어링사업(정보통신)
525	3573	엔지니어링사업(정보관리)
526	3574	엔지니어링사업(철도신호)
527	3575	엔지니어링사업(화공)
528	3576	엔지니어링사업(자원관리)
529	3577	엔지니어링사업(광해방지)
530	3578	엔지니어링사업(도로, 공항)
531	3579	엔지니어링사업(항만, 해안)
532	3580	엔지니어링사업(철도)
533	3581	엔지니어링사업(교통)
534	3582	엔지니어링사업(농어업토목)
535	3583	엔지니어링사업(도시계획)
536	3584	엔지니어링사업(조경)
537	3585	엔지니어링사업(구조)
538	3586	엔지니어링사업(수자원개발)
539	3587	엔지니어링사업(상하수도)
540	3588	엔지니어링사업(토질, 지질)
541	3589	엔지니어링사업(측량, 지적)
542	3590	엔지니어링사업(품질시험)
543	3591	엔지니어링사업(설비)
544	3592	엔지니어링사업(대기관리)
545	3593	엔지니어링사업(수질관리)
546	3594	엔지니어링사업(소음, 진동)
547	3595	엔지니어링사업(폐기물처리)
548	3596	엔지니어링사업(자연,토양환경)
549	3597	엔지니어링사업(농림)
550	3598	엔지니어링사업(시설원예)
551	3599	엔지니어링사업(해양)
552	3601	공인회계사사무소
553	3602	통계작성 지정기관
554	3603	경제자유구역 및 제주국제자유도시 외국교육기관
555	3604	경제자유구역내 외국교육기관
556	3606	사회기반시설 민간투자사업시행자
557	3607	사회기반시설 민간투자사업법인
558	3609	복권발행 수탁사업
559	3610	복권발행 재수탁사업
560	3611	전문가격조사기관
561	3612	원가계산용역기관(기재부기준)
562	3613	경제자유구역내 외국인전용 카지노업
563	3614	외국회계사무소(개인)
564	3615	외국회계법인
565	3616	경제자유구역내 외국의료기관(종합병원)
566	3617	경제자유구역내 외국의료기관(병원)
